GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant.mapper,UserDtoMapperImpl,7,94,4,4,4,28,4,5,0,5
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,117,0,0,0,22,0,8,0,8
etudiant-backend,com.openclassrooms.etudiant.handler,RestExceptionHandler,0,141,0,0,0,23,0,10,0,10
etudiant-backend,com.openclassrooms.etudiant.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.service,UserService,0,207,0,12,0,44,0,16,0,10
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,0,70,0,0,0,26,0,6,0,6
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,0,91,0,0,0,21,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,0,21,0,0,0,3,0,3,0,3
etudiant-backend,com.openclassrooms.etudiant.configuration.security,JwtAuthenticationFilter,0,84,0,6,0,21,0,7,0,4
